SYMBOL	G1	G2	G3
AAK1	-43.923351796504	-15.0527869917962	-11.138036339007
ABCA4	-19.2325629088577	-19.1689052190288	-29.6481502642716
ABHD12B	7.8397697910705	19.3086186597906	29.8419847122334
ABLIM3	-23.4768007900928	-9.26331538096847	-10.0588138378461
ACAT2	-21.9509276251535	-23.5116243777941	-24.1955791642668
ACBD5	-11.2661861256172	-16.8861718351844	-19.8512534040546
ACOX3	-27.347485478177	-36.9230463527565	-60.8444656064758
ACSL3	-30.5617528126367	-35.928699463528	-42.5006171606639
ADAMTSL4	-11.2478293344249	-13.4932994190204	-25.2810585802847
ADAR	-6.34937249729548	-9.4802754224587	-18.93653697191
ADCK5	-25.05830331991	-15.0330873753445	-15.6421647137672
ADORA1	-32.2873799605511	-13.8207445589796	-2.67758594544322
AGAP11	-38.5056496328476	-20.5627008415006	-11.5114787242641
AGFG1	-33.338238390378	-22.8938913523247	-6.92030143743559
ALPL	22.5186525992241	44.0184036122286	65.5586932575122
ANG	33.9886152491161	40.7977492229608	83.7660273803609
ANKRD13B	-14.4987943886008	-15.4768019137034	-19.9492547316274
APOL3	0.224197381096782	3.63491373549624	24.0624408692636
AQP10	-35.6068741200415	-38.6463048923333	-66.1716085682309
ARAP1	-81.1353884493755	-49.2034741368324	-62.4529970786234
ARFGAP1	-13.0305553925441	-18.2651440647549	-24.5812106820712
ATG16L1	-11.1763784245409	-15.614328573042	-15.8453981656726
ATP5O	-15.1435576221787	-20.2990002096172	-31.9169627011618
ATPGD1	-70.0423082567896	-83.4768930063916	-87.7691551120727
AURKA	-18.1570076581252	-19.151346388604	-19.153626113681
BAT1	-20.7887303688217	-19.6876859029996	-39.2276420560049
BCDIN3D	-16.0466560239596	-23.4305786057204	-25.0364289719298
BCL3	-14.7340252555728	-20.129838555935	-20.6751683743098
BLVRA	-23.8489254211219	-23.9770829935669	-58.3862454848003
BMP4	49.3028709348185	54.5485981957881	83.8359026757689
BOLL	24.2530867233599	35.888039100307	35.8332812050477
BTAF1	-15.3348159515602	-19.4764251341021	-22.9118194923666
C10orf28	14.8968869430709	33.7026338135702	47.6693797193385
C11orf24	-35.5745254260694	-20.7599925668123	-5.53371656644706
C12orf51	15.5483196211415	24.5581912292708	32.8404940063988
C12orf61	-4.9911725330284	-6.14690931112418	-16.6506397847811
C15orf26	21.753737790927	30.5938029282182	32.3877314055052
C15orf51	-39.2662152923866	-34.6190768074119	-23.4783861468651
C16orf57	-14.8640563170808	-17.4440928353688	-16.8930009864222
C16orf81	-12.2214917724019	-20.7022515978381	-36.9260108984887
C17orf69	-26.2134504304782	-28.6810133072167	-14.730567459073
C17orf85	-14.1960359577802	-19.1506674218564	-35.4497498733901
C17orf90	-6.77511881710171	-40.7897073166445	-42.6701570866909
C1orf158	-57.1657097868479	-19.7300151665917	-5.87175427762131
C1orf163	-27.2270239294432	-12.7188138356134	-5.16440573206374
C1orf77	-26.060470777207	-28.0725778365186	-47.2186555510758
C20orf29	-46.9391057238453	-33.7221206754158	-29.9329816232477
C21orf56	-14.6920597232655	-6.58508654102933	-6.0293755192185
C2orf50	-27.2943075272109	-28.7735615287954	-14.5152554199137
C2orf65	25.3916779817094	30.1205579395557	50.472257738265
C4orf31	-18.9118329594412	-19.2145653775308	-8.17031441849849
C6orf145	-15.3926400860684	-14.3341293371068	-19.9099401721303
C8orf38	-4.26065975736011	-6.55409637203499	-19.1462340787343
C9orf27	-27.2794609956638	-7.27959731457129	-12.2370040662019
CALCOCO2	-13.2729683049207	-8.40123560360815	-14.9667405645798
CALU	-21.5224805506697	-6.08267993299209	-7.13898702312052
CBY3	-42.7413707615351	-41.964796209842	-67.3772528807154
CCDC144NL	-46.8341770762265	-32.8770109555296	-21.3314912592284
CCDC64	-7.59873738505527	-12.9766252643478	-23.8932913370677
CCL28	-49.3533871766265	-39.2513131963376	-64.2006272639248
CDC42EP1	-21.3890256366754	-29.1522509545314	-32.2584583298459
CDC42SE2	-65.2544612512739	-70.0290039425456	-87.1428262330584
CDCA4	-11.9146245492538	-14.1911070003481	-28.491025383691
CDK13	-43.5018622851555	-26.6731659225478	-18.5183308639335
CDKL2	40.4347365961216	70.1608014442004	66.5126869867043
CDX2	17.4004986751487	20.5280056837379	27.7725202293195
CES4	-27.0985019733772	-8.18661700036074	-5.87879503034123
CHMP4C	-13.731894282884	-22.2427036526261	-35.9843057212413
CHRNA10	-13.2903044510298	-4.51513035415121	-4.68958918841314
CLCC1	-21.9709941431215	-29.6721096139036	-42.5685608798
CMTM6	-2.28936250099505	-8.03063452323783	-6.43423430544492
CNIH4	-45.0533645688928	-35.4520074034668	-22.5173030162841
COLEC11	-25.8213816824923	-6.14780944554261	-3.24437145750257
CORO1C	-23.014768270591	-34.7715540856385	-43.1585379426598
CRHR2	15.162585302481	40.5168611815955	35.5636184910172
CRTAC1	22.0939719963392	33.4109078607298	46.2650127204379
CRYGD	23.140889589604	39.7571804102371	56.9648035035564
CSNK1G2	-26.5232314960027	-7.66238322970571	-5.16785747914047
CTBP2	-28.4172938671907	-28.8086382916071	-13.7240274185668
CTNNBIP1	-12.9469849971409	-14.4695588421207	-17.2877999378529
CTXN3	-46.1130803792384	-39.3852931104423	-21.2081560535092
